FID,gid,geom,id,ciad,localidade_id,nome,tipo,efetivacao,fir,jurisdicao,latitude_dec,longitude_dec,latitude,longitude,elevacao,elev_uom,tipo_util,cat_sigla,opr,wh,cidade,uf,utc,emenda_n,emenda,airport_pk
airport.1261,1261,MULTIPOINT ((-49.772777777778 -5.463333333333)),2952e403-06f6-4801-b76a-b0511fad2551,PA0042,SICY,Fazenda Apucarana,AD,2021-12-09,SBAZ,CINDACTA 4,-5.46333333,-49.77277778,05 27 48S,049 46 22W,184,M,PRIV,NAC,VFR DIURNA,HJ,Marabá,PA,-3,50/21,2023-03-23,5679
airport.3505,3505,MULTIPOINT ((-58.386666666667 -16.238333333333)),8204da77-34b8-485b-91da-8ed04ff6a4b8,MT0242,SNCM,Fazenda Camparino,AD,2018-07-19,SBAZ,CINDACTA 4,-16.23833333,-58.38666667,16 14 18S,058 23 12W,137,M,PRIV,NAC,VFR DIURNA,HJ,Cáceres,MT,-4,29/18,2023-03-23,5681
airport.3677,3677,MULTIPOINT ((-52.151666666667 -7.812777777778)),b20629e8-6cb0-4350-901b-15bfed4862f7,PA0072,SJKE,Pista Aldeia Kedjêrêkrã,AD,2018-07-19,SBAZ,CINDACTA 4,-7.81277778,-52.15166667,07 48 46S,052 09 06W,276,M,PRIV,NAC,VFR DIURNA,HJ,São Félix do Xingu,PA,-3,29/18,2023-03-23,5682
airport.281,281,MULTIPOINT ((-39.152777777778 -15.5675)),4a57ac03-c8eb-4c38-a7f5-57400ff0290f,BA0091,SIOA,Fazenda Primavera,AD,2022-12-29,SBRE,CINDACTA 3,-15.5675,-39.15277778,15 34 03S,039 09 10W,36,M,PRIV,NAC,VFR DIURNA,HJ,Canavieiras,BA,-3,53/22,2023-03-23,5684
airport.3307,3307,MULTIPOINT ((-51.653055555556 -7.131111111111)),2a02a325-6176-4aa5-adc9-6ebadd6f6e93,PA0071,SJKC,Pista Aldeia Kikretum,AD,2018-07-19,SBAZ,CINDACTA 4,-7.13111111,-51.65305556,07 07 52S,051 39 11W,220,M,PRIV,NAC,VFR DIURNA,HJ,Ourilândia do Norte,PA,-3,29/18,2023-03-23,5685
airport.2862,2862,MULTIPOINT ((-51.476666666667 -20.64)),ca74bf5d-e983-4d48-8161-673f5185ed27,SP0258,SSUK,Fazenda Menina,AD,2018-07-19,SBCW,CINDACTA 2,-20.64,-51.47666667,20 38 24S,051 28 36W,343,M,PRIV,NAC,VFR DIURNA,HJ,Itapura,SP,-3,29/18,2023-03-23,5686
airport.3054,3054,MULTIPOINT ((-51.663611111111 -8.475277777778)),17db7817-852a-456a-bac3-945cdbca834a,PA0053,SIPY,Pista Aldeia Pykatô,AD,2018-07-19,SBAZ,CINDACTA 4,-8.47527778,-51.66361111,08 28 31S,051 39 49W,327,M,PRIV,NAC,VFR DIURNA,HJ,Cumaru do Norte,PA,-3,29/18,2023-03-23,5689
airport.4431,4431,MULTIPOINT ((-40.650833333333 -14.826666666667)),54ad4d7d-4048-4a20-8dcc-9a39d53b0739,BA0137,SNGW,Fazenda Santo Angelo,AD,2018-07-19,SBRE,CINDACTA 3,-14.82666667,-40.65083333,14 49 36S,040 39 03W,895,M,PRIV,NAC,VFR DIURNA,HJ,Barra do Choça,BA,-3,29/18,2023-03-23,5690
airport.4245,4245,MULTIPOINT ((-54.818055555556 -23.507222222222)),293cfb58-1166-4e97-8715-4162b7f1969c,MS0093,SIJW,Fazenda Retimar,AD,2018-07-19,SBCW,CINDACTA 2,-23.50722222,-54.81805556,23 30 26S,054 49 05W,341,M,PRIV,NAC,VFR DIURNA,HJ,Iguatemi,MS,-4,29/18,2023-03-23,5692
airport.3792,3792,MULTIPOINT ((-44.039166666667 -12.225)),61e7b514-edca-414f-9b06-2d5cb762eeb5,BA0085,SIDZ,Fazenda Santa Fé,AD,2018-07-19,SBRE,CINDACTA 3,-12.225,-44.03916667,12 13 30S,044 02 21W,785,M,PRIV,NAC,VFR DIURNA,HJ,Tabocas do Brejo Velho,BA,-3,29/18,2023-03-23,5693
