FID,gid,runway_pk,effectived,airport_pk,ident,runwayleng,width,codecondsf,surface,rwydesc,rwystrengt,descrstren,lenstrip,widstrip,lenoffset,widoffset,codests,txtprofile,txtmarking,txtrmk,txtrmk_lcl,rwydesc_lc,txtprofil1,txtmarkin1,valcrc,auwweight,codepcnmax,lcnclass,pcnclass,pcnevalmet,pcnnote,pcnpavemen,pcnpaveme1,preparatio,siwltirepr,siwlweight,uomauwweig,uomsiwltir,uomsiwlwei,valpcnmaxt,lengthoffs,lengthstri,nominallen,lengthaccu,widthoffse,widthstrip,nominalwid,widthaccur,type,abandoned,widthshoul,widthshou1,light_desc,bltype,lengthacc1,widthaccu1,codenumber,geom,emenda,emenda_futura
runway_v2.2828,2828,661,2013-01-01,638,14/32,1520,30,,ASPH,,PCN,,,,,,,,,,,,,,,,Y,,7,,,B,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,,,,,,"POLYGON ((-63.07635064439409 -7.52939988575349, -63.06759786384238 -7.54000544179513, -63.067807692199125 -7.54017789217937, -63.07656046764736 -7.52957233622105, -63.07635064439409 -7.52939988575349))",2022-12-29,2023-01-26
runway_v2.2829,2829,671,2013-01-01,648,13/31,1500,23,,ASPH,,PCN,,,,,,,,,,,,,,,,X,,10,,,B,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,,,,"POLYGON ((-51.779876719473165 -17.827844051667658, -51.76657116250935 -17.832491273714037, -51.76664550353114 -17.8326865042779, -51.7799510585673 -17.82803928232428, -51.779876719473165 -17.827844051667658))",2022-12-29,2023-01-26
runway_v2.2830,2830,672,2013-01-01,649,17/35,1850,30,,ASPH,,PCN,,,,,,,,,,,,,,,,X,,30,TECH,,A,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,,,,,,"POLYGON ((-57.631030793316974 -16.0351745631986, -57.628491893865096 -16.051732897229208, -57.62876921816241 -16.05177265868101, -57.6313080947105 -16.03521432471173, -57.631030793316974 -16.0351745631986))",2022-12-29,2023-01-26
runway_v2.2831,2831,673,2013-01-01,650,10/28,1600,36,,ASPH,,PCN,,,,,,,,,,,,,,,,X,,29,,,C,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,,,,,,"POLYGON ((-63.139736389782406 -4.133915000230449, -63.125333611782395 -4.13389000023034, -63.12533305421748 -4.13421555576899, -63.13973583221746 -4.13424055576889, -63.139736389782406 -4.133915000230449))",2022-12-29,2023-01-26
runway_v2.2832,2832,685,2013-01-01,662,01/19,1200,25,,ASPH,,PCN,,,,,,,,,,,,,,,,Y,,8,,,C,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,,,,,,"POLYGON ((-57.72425608543035 -3.37762769509331, -57.72558664019103 -3.3667610280964197, -57.72536335981209 -3.36673341589074, -57.72403280257279 -3.3776000828937995, -57.72425608543035 -3.37762769509331))",2022-12-29,2023-01-26
runway_v2.2833,2833,2816,2012-01-20,3586,08/26,2001,52,,CONC,,,,,,,,,,,,,,,,,,Y,,14,TECH,,C,RIGID,,,,,,,,,,M,,,,M,,RWY,,,,"L14,15",,,,,"POLYGON ((-43.39345128684457 -22.879118586203628, -43.37630683423304 -22.87050747498029, -43.376065387402114 -22.870920302922737, -43.39320982479042 -22.87953141369935, -43.39345128684457 -22.879118586203628))",2022-12-29,2023-01-26
runway_v2.2834,2834,2850,2011-12-15,3593,05/23,2739,45,,ASPH,,,,,,,,,,,,,,,,,,X,,32,TECH,,B,FLEXIBLE,,,,,,,,,,M,,,,M,,RWY,,,,"L14,15",,,,,"POLYGON ((-43.72475006447079 -22.94368609670651, -43.71379169832496 -22.921119430469826, -43.71339163543035 -22.921286125277348, -43.724349935284195 -22.94385279104039, -43.72475006447079 -22.94368609670651))",2022-12-29,2023-01-26
runway_v2.2837,2837,271,2019-05-23,254,09/27,1800,30,,ASPH,,PCN,,1920,280,,,,,,,,,,,,,X,,36,ACFT,,A,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,,M,,"POLYGON ((-37.81275005952927 -4.5714274715864995, -37.7974361701989 -4.5660691375674, -37.7973471637853 -4.56632530642938, -37.81266105245491 -4.57168364041027, -37.81275005952927 -4.5714274715864995))",2022-12-29,2023-01-26
runway_v2.2838,2838,702,2013-01-01,679,06/24,1800,30,,ASPH,,PCN,,,,,,,,,,,,,,,,X,,33,TECH,,B,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,,,,"POLYGON ((-56.783590409852046 -2.67903803118189, -56.77188207600338 -2.6677880311638797, -56.771695701981834 -2.6679841908288697, -56.783404034133106 -2.6792341908108295, -56.783590409852046 -2.67903803118189))",2022-12-29,2023-01-26
runway_v2.2839,2839,2899,2011-12-15,3644,02L/20R,2108,45,,ASPH,,,,,,,,,,,,,,,,,,Y,,10,,,C,FLEXIBLE,,,,,,,,,,M,,,,M,,RWY,,,,"L14,15",,,,,"POLYGON ((-47.34287621481417 -21.99407566330551, -47.34294285274718 -21.975031219307176, -47.34250714725483 -21.9750298924037, -47.34244045118785 -21.9940743364051, -47.34287621481417 -21.99407566330551))",2022-12-29,2023-01-26
runway_v2.2840,2840,2900,2011-12-15,3644,02R/20L,1902,45,,ASPH,,,,,,,,,,,,,,,,,,Y,,10,,,C,FLEXIBLE,,,,,,,,,,M,,,,M,,RWY,,,,,,,,,"POLYGON ((-47.32704010148494 -21.99325091942771, -47.3271234092712 -21.976075919429757, -47.32668770273159 -21.976074080281112, -47.32660434251785 -21.993249080282908, -47.32704010148494 -21.99325091942771))",2022-12-29,2023-01-26
runway_v2.2841,2841,2908,2018-04-26,3588,13/31,2751,45,,ASPH,,,,,,,,,,,,,,,,,,X,,46,,,C,FLEXIBLE,,,,,,,,,,M,,,,M,,RWY,,,,"L14,15",,,,,"POLYGON ((-51.1577111854779 -29.94162252840047, -51.13084173404724 -29.94989475064086, -51.13099715425034 -29.95027747130774, -51.15786659281955 -29.94200524954815, -51.1577111854779 -29.94162252840047))",2022-12-29,2023-01-26
runway_v2.2844,2844,119,2018-01-04,103,03/21,1700,35,,ASPH,,PCN,,1820,150,,,,,,,,,,,,,X,,35,TECH,,B,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,M,M,,"POLYGON ((-49.928517985289076 -22.204222148565158, -49.9247513008445 -22.18930825949899, -49.924420921070876 -22.18938062833333, -49.92818757062622 -22.204294517267027, -49.928517985289076 -22.204222148565158))",2022-12-29,2023-01-26
runway_v2.2845,2845,121,2013-01-01,105,12/30,1600,45,,ASPH,,PCN,,,,,,,,,,,,,,,,Y,,16,,,C,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,,,,"POLYGON ((-46.64241625392697 -23.508113990106047, -46.63136625337889 -23.509961212153442, -46.63144485873973 -23.5103610098315, -46.64249485819163 -23.50851378787889, -46.64241625392697 -23.508113990106047))",2022-12-29,2023-01-26
runway_v2.2847,2847,730,2013-01-01,707,08/26,1500,30,,ASPH,,PCN,5700Kg/0.50 MPa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,M,,,M,M,,RWY,,,,,,,,,"POLYGON ((-50.20446533238804 -13.33242246880214, -50.1908653321064 -13.329830801775, -50.19081244586467 -13.330096976220839, -50.20441244558302 -13.332688643193698, -50.20446533238804 -13.33242246880214))",2022-12-29,2023-01-26
runway_v2.2848,2848,735,2013-01-01,712,12/30,1080,30,,ASPH,,PCN,,,,,,,,,,,,,,,,Z,,3,ACFT,,B,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,,,,,,"POLYGON ((-63.65141963517349 2.83689661883913, -63.642064080267076 2.83407995184547, -63.642141475724266 2.8338200481529396, -63.65149703081786 2.83663671515928, -63.65141963517349 2.83689661883913))",2022-12-29,2023-01-26
runway_v2.2849,2849,736,2013-01-01,713,11/29,1200,20,,ASPH,,PCN,,,,,,,,,,,,,,,,Y,,8,,,C,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,,,,,,"POLYGON ((-47.97440733096697 -16.26125152356221, -47.96319066394172 -16.262012634568677, -47.96320378006425 -16.262192921430337, -47.974420447038995 -16.261431810436807, -47.97440733096697 -16.26125152356221))",2022-12-29,2023-01-26
